episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,eps_greedy_0,eps_greedy_1,eps_greedy_2,collisions_0,collisions_1,collisions_2
0,6,-0.332007721184,-0.332007721184,-8.56498276961,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
1,1,-0.307167910053,-0.307167910053,-50.7473304628,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
2,4,-0.182182075408,-0.182182075408,-12.6613796364,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
3,6,-0.148463211807,-0.148463211807,-8.59106666985,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
4,10,-5.32130323746,-0.321303237456,0.321303237456,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
5,1,-50.3473156566,-0.347315656646,0.347315656646,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
6,4,-12.7173554388,-0.217355438809,0.217355438809,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
7,4,-12.776811101,-0.276811101023,-0.343486350529,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
8,16,-0.306944575354,-0.306944575354,-3.24552493789,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
9,2,-0.311359295889,-0.311359295889,-25.3677444016,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
10,1,-0.399689717331,-50.3996897173,0.111751721292,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
11,13,-4.1253655336,-0.279211687448,0.277621257157,-0.0769230769231,-0.0769230769231,-0.0769230769231,0.5,0.5,0.5,0.0,0.0,0.0
12,19,-0.271343696803,-0.271343696803,-2.70596215789,-0.0526315789474,-0.0526315789474,-0.0526315789474,0.5,0.5,0.5,0.0,0.0,0.0
13,2,-25.2652425525,-0.265242552458,0.265242552458,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
14,6,-8.71589269135,-0.38255935802,0.17818279685,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
15,18,-3.10193005694,-0.324152279157,0.324152279157,-0.0555555555556,-0.0555555555556,-0.0555555555556,0.5,0.5,0.5,0.0,0.0,0.0
16,11,-4.79302912314,-0.247574577685,0.247574577685,-0.0909090909091,-0.0909090909091,-0.0909090909091,0.5,0.5,0.5,0.0,0.0,0.0
17,14,-0.305804285407,-3.87723285684,0.305804285407,-0.0714285714286,-0.0714285714286,-0.0714285714286,0.5,0.5,0.5,0.0,0.0,0.0
18,10,19.8075896174,19.8075896174,-25.042724608,-0.1,-0.1,-0.1,0.5,0.5,0.5,2.0,0.0,2.0
19,8,-0.127343672173,-0.127343672173,-6.33455934634,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
20,13,-0.154933575202,-0.154933575202,-3.84792621043,-0.0769230769231,-0.0769230769231,-0.0769230769231,0.5,0.5,0.5,0.0,0.0,0.0
21,4,-0.320679074566,-12.8206790746,0.320679074566,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
22,5,-0.244083887712,-0.244083887712,-10.6012115985,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
23,10,-0.154548917176,-5.15454891718,0.154548917176,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
24,4,-0.392232837016,-0.392232837016,-12.5236477318,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
25,1,-50.1029863068,-0.102986306844,0.102986306844,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
26,16,-0.187220457282,-0.187220457282,-3.07222274173,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
27,13,-4.14826833087,-0.302114484715,0.285580381975,-0.0769230769231,-0.0769230769231,-0.0769230769231,0.5,0.5,0.5,0.0,0.0,0.0
28,6,-0.2083978701,-0.2083978701,-8.44934593155,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
29,9,-0.229373719825,-0.229373719825,-5.56821834122,-0.111111111111,-0.111111111111,-0.111111111111,0.5,0.5,0.5,0.0,0.0,0.0
30,12,-4.39059250358,-0.223925836918,0.223925836918,-0.0833333333333,-0.0833333333333,-0.0833333333333,0.5,0.5,0.5,0.0,0.0,0.0
31,2,-0.32000240472,-0.32000240472,-25.5492365065,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
32,48,-0.240640585729,-0.240640585729,-0.896979507749,-0.0208333333333,-0.0208333333333,-0.0208333333333,0.5,0.5,0.5,0.0,0.0,0.0
33,24,-2.34492710073,-0.261593767396,0.261593767396,-0.0416666666667,-0.0416666666667,-0.0416666666667,0.5,0.5,0.5,0.0,0.0,0.0
34,6,-8.42584434268,-0.0925110093426,0.0925110093426,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
35,10,-0.20847046197,-5.20847046197,0.20847046197,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
