episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,eps_greedy_0,eps_greedy_1,eps_greedy_2,collisions_0,collisions_1,collisions_2
0,6,-0.0387414407392,0.0387414407392,-8.73377987899,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
1,2,-0.147453615955,0.147453615955,-25.7552943757,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
2,3,-16.7581250384,0.0914583717759,0.121020667428,-0.333333333333,-0.333333333333,-0.333333333333,0.5,0.5,0.5,0.0,0.0,0.0
3,12,-4.25245447594,0.128351550689,0.0857878092752,-0.0833333333333,-0.0833333333333,-0.0833333333333,0.5,0.5,0.5,0.0,0.0,0.0
4,2,-0.0493254854511,0.0516265888376,-25.9518203138,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
5,16,6.19010538105,-6.25334983653,-3.35523236235,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,1.0,1.0,0.0
6,20,-0.0314333265328,-2.53875800569,0.0576027150574,-0.05,-0.05,-0.05,0.5,0.5,0.5,0.0,0.0,0.0
7,14,-3.73211179445,0.00995354316741,0.16068322302,-0.0714285714286,-0.0714285714286,-0.0714285714286,0.5,0.5,0.5,0.0,0.0,0.0
8,8,-0.0864032403906,-6.30910511456,0.132921548628,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
9,22,11.3106336349,0.0867956520206,-13.5482323849,-0.0454545454545,-0.0454545454545,-0.0454545454545,0.5,0.5,0.5,3.0,0.0,3.0
10,10,-0.0286507284233,-5.13299611592,0.118295258424,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
11,2,-0.0757267498595,0.0757267498595,-25.9462778184,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
12,7,-0.0795172852309,-7.42197811973,0.0795172852309,-0.142857142857,-0.142857142857,-0.142857142857,0.5,0.5,0.5,0.0,0.0,0.0
13,2,-0.133255808753,-25.6495080495,0.133255808753,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
14,5,-10.1463099216,-0.56470084458,0.146309921604,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
15,13,-0.111816047123,-3.84315191164,0.156472175082,-0.0769230769231,-0.0769230769231,-0.0769230769231,0.5,0.5,0.5,0.0,0.0,0.0
16,10,-5.12854216773,0.128631465962,0.14858779049,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
17,8,-0.061706720084,0.116057245645,-6.54438272383,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
18,19,-0.0470296283126,-2.70145231103,0.0511194443444,-0.0526315789474,-0.0526315789474,-0.0526315789474,0.5,0.5,0.5,0.0,0.0,0.0
19,7,-0.0393050890872,0.0987919371316,-7.57975263151,-0.142857142857,-0.142857142857,-0.142857142857,0.5,0.5,0.5,0.0,0.0,0.0
20,11,-0.140058317816,-4.58086600327,0.140058317816,-0.0909090909091,-0.0909090909091,-0.0909090909091,0.5,0.5,0.5,0.0,0.0,0.0
21,2,-0.123983930244,-25.8341316964,0.126402458922,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
22,23,-2.30331619169,0.136482706968,-0.0684838847666,-0.0434782608696,-0.0434782608696,-0.0434782608696,0.5,0.5,0.5,0.0,0.0,0.0
23,6,-0.169470545111,-8.47535950895,0.106885840599,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
24,5,-0.0967764641454,0.0691908973373,-10.2460100204,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
