episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,eps_greedy_0,eps_greedy_1,eps_greedy_2,collisions_0,collisions_1,collisions_2
0,6,-0.0342761591419,0.0342761591419,-8.71209438666,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
1,1,-0.144957803881,0.144957803881,-50.8494870712,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
2,4,-0.123869173131,0.123869173131,-12.6962530669,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
3,6,-0.0561416102277,0.119476890035,-8.68338827143,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
4,10,-5.06023350397,0.0602335039701,0.170955264779,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
5,1,-50.0480992011,0.0480992010809,0.187369149,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
6,4,-12.6523522445,0.171283854838,0.15235224445,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
7,4,-12.6888828907,0.194260210663,-0.431414560867,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
8,16,-0.0661615392014,0.0661615392014,-3.37883037298,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
9,2,-0.141144855485,-0.338842500713,-25.4823643112,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
10,1,-0.0338940120455,-51.217354945,-0.0908862226647,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
11,13,-3.94631849039,0.100164644232,0.139111789533,-0.0769230769231,-0.0769230769231,-0.0769230769231,0.5,0.5,0.5,0.0,0.0,0.0
12,19,-0.0958543147701,0.102317875045,-2.87479463489,-0.0526315789474,-0.0526315789474,-0.0526315789474,0.5,0.5,0.5,0.0,0.0,0.0
13,2,-25.1775207166,0.177520716578,0.199954594481,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
14,6,-8.48597954187,0.152646208534,-0.0351243012585,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
15,16,9.34726198673,-12.4722619867,0.154209444524,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,2.0,2.0,0.0
16,8,-6.36977609618,-0.0324397273452,0.159890112448,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
17,3,-0.063195594002,0.151927178125,-17.7303058016,-0.333333333333,-0.333333333333,-0.333333333333,0.5,0.5,0.5,0.0,0.0,0.0
18,5,-0.069251553086,-10.8755612593,0.126640980943,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
19,12,-0.0791864674899,-4.21647772147,0.118170709814,-0.0833333333333,-0.0833333333333,-0.0833333333333,0.5,0.5,0.5,0.0,0.0,0.0
20,10,-5.09234594702,0.118917524836,0.0923459470187,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
21,9,-0.0571681789535,0.0610874455232,-5.63770555809,-0.111111111111,-0.111111111111,-0.111111111111,0.5,0.5,0.5,0.0,0.0,0.0
22,10,-0.0567150258155,-5.14921066051,-4.97920882342,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
23,1,-50.0263289829,-0.932426226388,-0.162120578066,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
24,6,-0.0579848779566,0.0579848779566,-8.89335079467,-0.166666666667,-0.166666666667,-0.166666666667,0.5,0.5,0.5,0.0,0.0,0.0
25,4,-0.135075041996,-12.8948348595,-0.0756105364359,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
26,9,-5.66038352007,0.104827964514,0.164076233953,-0.111111111111,-0.111111111111,-0.111111111111,0.5,0.5,0.5,0.0,0.0,0.0
27,8,-0.0887551154308,-6.3179174542,-6.34540883195,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
28,9,-0.0897855130696,0.0389426872519,-5.68008064154,-0.111111111111,-0.111111111111,-0.111111111111,0.5,0.5,0.5,0.0,0.0,0.0
29,16,-3.17795426875,0.0529542687508,0.0608474257953,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
30,5,-0.0576049638224,-10.184787958,0.0576049638224,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
31,11,-0.0623673166657,-0.305689285447,-4.5875897977,-0.0909090909091,-0.0909090909091,-0.0909090909091,0.5,0.5,0.5,0.0,0.0,0.0
